Calendar ID,Question ID,Cluster,Mean,Standard Deviation
17,1,Department,4.27,0.92
17,2,Department,4.20,0.98
17,3,Department,4.34,0.91
17,4,Department,4.34,0.87
17,5,Department,4.33,0.91
17,6,Department,4.34,0.92
17,7,Department,4.13,1.05
17,8,Department,4.18,1.02
17,9,Department,4.17,1.03
17,10,Department,4.25,1.02
17,1,College,4.26,0.95
17,2,College,4.29,0.93
17,3,College,4.47,0.82
17,4,College,4.44,0.81
17,5,College,4.37,0.90
17,6,College,4.45,0.85
17,7,College,4.22,1.00
17,8,College,4.29,0.96
17,9,College,4.24,1.00
17,10,College,4.37,0.95
17,1,University,4.34,0.91
17,2,University,4.30,0.94
17,3,University,4.51,0.83
17,4,University,4.48,0.81
17,5,University,4.42,0.88
17,6,University,4.48,0.86
17,7,University,4.26,1.01
17,8,University,4.34,0.95
17,9,University,4.30,1.00
17,10,University,4.40,0.96
16,1,Department,4.28,0.90
16,2,Department,4.24,0.94
16,3,Department,4.38,0.88
16,4,Department,4.35,0.86
16,5,Department,4.33,0.88
16,6,Department,4.38,0.89
16,7,Department,4.17,1.03
16,8,Department,4.21,0.99
16,9,Department,4.18,1.02
16,10,Department,4.29,0.99
16,1,College,4.24,0.94
16,2,College,4.25,0.94
16,3,College,4.43,0.84
16,4,College,4.41,0.82
16,5,College,4.32,0.91
16,6,College,4.44,0.84
16,7,College,4.17,1.02
16,8,College,4.25,0.97
16,9,College,4.20,1.02
16,10,College,4.33,0.98
16,1,University,4.31,0.91
16,2,University,4.25,0.96
16,3,University,4.48,0.83
16,4,University,4.45,0.81
16,5,University,4.40,0.89
16,6,University,4.48,0.84
16,7,University,4.23,1.01
16,8,University,4.33,0.93
16,9,University,4.27,1.00
16,10,University,4.39,0.95
14,1,Department,4.26,0.94
14,2,Department,4.21,0.98
14,3,Department,4.34,0.92
14,4,Department,4.32,0.90
14,5,Department,4.32,0.91
14,6,Department,4.33,0.94
14,7,Department,4.14,1.05
14,8,Department,4.17,1.03
14,9,Department,4.17,1.04
14,10,Department,4.28,0.99
14,1,College,4.24,0.98
14,2,College,4.27,0.96
14,3,College,4.45,0.85
14,4,College,4.42,0.84
14,5,College,4.35,0.92
14,6,College,4.44,0.87
14,7,College,4.20,1.02
14,8,College,4.26,0.99
14,9,College,4.21,1.03
14,10,College,4.36,0.96
14,1,University,4.3,0.94
14,2,University,4.28,0.96
14,3,University,4.49,0.85
14,4,University,4.47,0.83
14,5,University,4.41,0.90
14,6,University,4.47,0.87
14,7,University,4.25,1.03
14,8,University,4.33,0.97
14,9,University,4.29,1.01
14,10,University,4.41,0.95
13,1,Department,4.29,0.91
13,2,Department,4.25,0.94
13,3,Department,4.35,0.90
13,4,Department,4.34,0.88
13,5,Department,4.33,0.89
13,6,Department,4.36,0.92
13,7,Department,4.17,1.03
13,8,Department,4.19,1.00
13,9,Department,4.17,1.03
13,10,Department,4.29,0.98
13,1,College,4.26,0.96
13,2,College,4.23,0.98
13,3,College,4.43,0.87
13,4,College,4.39,0.85
13,5,College,4.34,0.91
13,6,College,4.44,0.88
13,7,College,4.18,1.03
13,8,College,4.26,0.98
13,9,College,4.21,1.03
13,10,College,4.35,0.96
13,1,University,4.31,0.94
13,2,University,4.24,0.98
13,3,University,4.47,0.86
13,4,University,4.44,0.83
13,5,University,4.39,0.91
13,6,University,4.47,0.87
13,7,University,4.21,1.04
13,8,University,4.32,0.95
13,9,University,4.26,1.02
13,10,University,4.4,0.95
11,1,Department,4.28,0.91
11,2,Department,4.22,0.94
11,3,Department,4.36,0.88
11,4,Department,4.33,0.87
11,5,Department,4.32,0.89
11,6,Department,4.34,0.92
11,7,Department,4.16,1.02
11,8,Department,4.19,0.99
11,9,Department,4.17,1.01
11,10,Department,4.29,0.97
11,1,College,4.24,0.97
11,2,College,4.26,0.95
11,3,College,4.46,0.85
11,4,College,4.43,0.82
11,5,College,4.34,0.92
11,6,College,4.43,0.89
11,7,College,4.19,1.03
11,8,College,4.24,1.01
11,9,College,4.18,1.06
11,10,College,4.35,0.99
11,1,University,4.36,0.90
11,2,University,4.30,0.94
11,3,University,4.51,0.83
11,4,University,4.48,0.81
11,5,University,4.43,0.87
11,6,University,4.49,0.86
11,7,University,4.26,1.01
11,8,University,4.35,0.94
11,9,University,4.31,0.99
11,10,University,4.44,0.92
5,1,Department,4.27,0.92
5,2,Department,4.21,0.95
5,3,Department,4.32,0.92
5,4,Department,4.35,0.86
5,5,Department,4.31,0.90
5,6,Department,4.33,0.92
5,7,Department,4.10,1.06
5,8,Department,4.16,1.00
5,9,Department,4.13,1.06
5,10,Department,4.26,1.01
5,1,College,4.30,0.93
5,2,College,4.27,0.94
5,3,College,4.45,0.85
5,4,College,4.43,0.81
5,5,College,4.37,0.88
5,6,College,4.45,0.85
5,7,College,4.19,1.02
5,8,College,4.27,0.96
5,9,College,4.20,1.03
5,10,College,4.37,0.95
5,1,University,4.36,0.89
5,2,University,4.29,0.93
5,3,University,4.52,0.8
5,4,University,4.48,0.8
5,5,University,4.44,0.85
5,6,University,4.50,0.83
5,7,University,4.25,1.00
5,8,University,4.36,0.92
5,9,University,4.30,0.98
5,10,University,4.45,0.91
4,1,Department,4.25,0.95
4,2,Department,4.20,1.00
4,3,Department,4.31,0.95
4,4,Department,4.29,0.94
4,5,Department,4.28,0.97
4,6,Department,4.32,0.95
4,7,Department,4.08,1.10
4,8,Department,4.14,1.04
4,9,Department,4.11,1.08
4,10,Department,4.24,1.02
4,1,College,4.25,0.95
4,2,College,4.17,1.01
4,3,College,4.43,0.88
4,4,College,4.38,0.87
4,5,College,4.35,0.93
4,6,College,4.44,0.88
4,7,College,4.15,1.05
4,8,College,4.22,1.00
4,9,College,4.18,1.05
4,10,College,4.36,0.96
4,1,University,4.27,0.96
4,2,University,4.18,1.02
4,3,University,4.46,0.88
4,4,University,4.40,0.88
4,5,University,4.38,0.93
4,6,University,4.44,0.90
4,7,University,4.17,1.07
4,8,University,4.28,0.99
4,9,University,4.22,1.06
4,10,University,4.37,0.96
2,1,Department,4.22,0.98
2,2,Department,4.16,1.01
2,3,Department,4.30,0.96
2,4,Department,4.28,0.94
2,5,Department,4.26,0.98
2,6,Department,4.31,0.95
2,7,Department,4.07,1.1
2,8,Department,4.13,1.03
2,9,Department,4.09,1.09
2,10,Department,4.24,1.02
2,1,College,4.20,0.99
2,2,College,4.20,0.98
2,3,College,4.38,0.92
2,4,College,4.35,0.90
2,5,College,4.29,0.96
2,6,College,4.38,0.93
2,7,College,4.12,1.07
2,8,College,4.17,1.03
2,9,College,4.13,1.07
2,10,College,4.30,1.01
2,1,University,4.26,0.98
2,2,University,4.20,1.01
2,3,University,4.47,0.88
2,4,University,4.40,0.89
2,5,University,4.37,0.94
2,6,University,4.43,0.91
2,7,University,4.17,1.08
2,8,University,4.27,1.00
2,9,University,4.21,1.07
2,10,University,4.37,0.97
1,1,Department,4.19,1.00
1,2,Department,4.14,1.01
1,3,Department,4.23,1.00
1,4,Department,4.23,0.96
1,5,Department,4.21,1.01
1,6,Department,4.27,0.97
1,7,Department,4.02,1.14
1,8,Department,4.07,1.08
1,9,Department,4.00,1.15
1,10,Department,4.17,1.07
1,1,College,4.16,1.02
1,2,College,4.09,1.04
1,3,College,4.37,0.92
1,4,College,4.32,0.90
1,5,College,4.27,0.98
1,6,College,4.37,0.93
1,7,College,4.06,1.11
1,8,College,4.14,1.04
1,9,College,4.07,1.11
1,10,College,4.27,1.03
1,1,University,4.22,0.99
1,2,University,4.14,1.03
1,3,University,4.44,0.89
1,4,University,4.37,0.89
1,5,University,4.34,0.95
1,6,University,4.42,0.90
1,7,University,4.12,1.08
1,8,University,4.24,1.00
1,9,University,4.17,1.07
1,10,University,4.34,0.98
