Section ID,Question ID,Group,Mean,Standard Deviation
12415,1,Instructor,4.26,1.07
12415,2,Instructor,4.66,0.68
12415,3,Instructor,5.00,0.00
12415,4,Instructor,4.97,0.17
12415,5,Instructor,4.91,0.28
12415,6,Instructor,5.00,0.00
12415,7,Instructor,4.94,0.24
12415,8,Instructor,4.97,0.17
12415,9,Instructor,4.97,0.17
12415,10,Instructor,4.97,0.17
12415,1,Department,4.28,0.90
12415,2,Department,4.24,0.94
12415,3,Department,4.38,0.88
12415,4,Department,4.35,0.86
12415,5,Department,4.33,0.88
12415,6,Department,4.38,0.89
12415,7,Department,4.17,1.03
12415,8,Department,4.21,0.99
12415,9,Department,4.18,1.02
12415,10,Department,4.29,0.99
12415,1,College,4.24,0.94
12415,2,College,4.25,0.94
12415,3,College,4.43,0.84
12415,4,College,4.41,0.82
12415,5,College,4.32,0.91
12415,6,College,4.44,0.84
12415,7,College,4.17,1.02
12415,8,College,4.25,0.97
12415,9,College,4.20,1.02
12415,10,College,4.33,0.98
12415,1,University,4.31,0.91
12415,2,University,4.25,0.96
12415,3,University,4.48,0.83
12415,4,University,4.45,0.81
12415,5,University,4.40,0.89
12415,6,University,4.48,0.84
12415,7,University,4.23,1.01
12415,8,University,4.33,0.93
12415,9,University,4.27,1.00
12415,10,University,4.39,0.95
12413,1,Instructor,4.44,0.94
12413,2,Instructor,4.50,0.85
12413,3,Instructor,4.78,0.76
12413,4,Instructor,4.75,0.77
12413,5,Instructor,4.78,0.76
12413,6,Instructor,4.78,0.76
12413,7,Instructor,4.78,0.76
12413,8,Instructor,4.75,0.77
12413,9,Instructor,4.75,0.77
12413,10,Instructor,4.86,0.42
12413,1,Department,4.28,0.90
12413,2,Department,4.24,0.94
12413,3,Department,4.38,0.88
12413,4,Department,4.35,0.86
12413,5,Department,4.33,0.88
12413,6,Department,4.38,0.89
12413,7,Department,4.17,1.03
12413,8,Department,4.21,0.99
12413,9,Department,4.18,1.02
12413,10,Department,4.29,0.99
12413,1,College,4.24,0.94
12413,2,College,4.25,0.94
12413,3,College,4.43,0.84
12413,4,College,4.41,0.82
12413,5,College,4.32,0.91
12413,6,College,4.44,0.84
12413,7,College,4.17,1.02
12413,8,College,4.25,0.97
12413,9,College,4.20,1.02
12413,10,College,4.33,0.98
12413,1,University,4.31,0.91
12413,2,University,4.25,0.96
12413,3,University,4.48,0.83
12413,4,University,4.45,0.81
12413,5,University,4.40,0.89
12413,6,University,4.48,0.84
12413,7,University,4.23,1.01
12413,8,University,4.33,0.93
12413,9,University,4.27,1.00
12413,10,University,4.39,0.95
12411,1,Instructor,4.21,1.17
12411,2,Instructor,4.45,0.98
12411,3,Instructor,5.00,0.00
12411,4,Instructor,4.97,0.16
12411,5,Instructor,4.95,0.23
12411,6,Instructor,5.00,0.00
12411,7,Instructor,4.92,0.27
12411,8,Instructor,4.82,0.61
12411,9,Instructor,4.95,0.23
12411,10,Instructor,4.97,0.16
12411,1,Department,4.28,0.90
12411,2,Department,4.24,0.94
12411,3,Department,4.38,0.88
12411,4,Department,4.35,0.86
12411,5,Department,4.33,0.88
12411,6,Department,4.38,0.89
12411,7,Department,4.17,1.03
12411,8,Department,4.21,0.99
12411,9,Department,4.18,1.02
12411,10,Department,4.29,0.99
12411,1,College,4.24,0.94
12411,2,College,4.25,0.94
12411,3,College,4.43,0.84
12411,4,College,4.41,0.82
12411,5,College,4.32,0.91
12411,6,College,4.44,0.84
12411,7,College,4.17,1.02
12411,8,College,4.25,0.97
12411,9,College,4.20,1.02
12411,10,College,4.33,0.98
12411,1,University,4.31,0.91
12411,2,University,4.25,0.96
12411,3,University,4.48,0.83
12411,4,University,4.45,0.81
12411,5,University,4.40,0.89
12411,6,University,4.48,0.84
12411,7,University,4.23,1.01
12411,8,University,4.33,0.93
12411,9,University,4.27,1.00
12411,10,University,4.39,0.95
6582,1,Instructor,4.44,0.81
6582,2,Instructor,4.58,0.60
6582,3,Instructor,4.94,0.23
6582,4,Instructor,4.94,0.23
6582,5,Instructor,4.94,0.23
6582,6,Instructor,4.97,0.17
6582,7,Instructor,4.75,0.60
6582,8,Instructor,4.89,0.32
6582,9,Instructor,4.83,0.45
6582,10,Instructor,5.00,0.00
6582,1,Department,4.26,0.94
6582,2,Department,4.21,0.98
6582,3,Department,4.34,0.92
6582,4,Department,4.32,0.90
6582,5,Department,4.32,0.91
6582,6,Department,4.33,0.94
6582,7,Department,4.14,1.05
6582,8,Department,4.17,1.03
6582,9,Department,4.17,1.04
6582,10,Department,4.28,0.99
6582,1,College,4.24,0.98
6582,2,College,4.27,0.96
6582,3,College,4.45,0.85
6582,4,College,4.42,0.84
6582,5,College,4.35,0.92
6582,6,College,4.44,0.87
6582,7,College,4.20,1.02
6582,8,College,4.26,0.99
6582,9,College,4.21,1.03
6582,10,College,4.36,0.96
6582,1,University,4.3,0.94
6582,2,University,4.28,0.96
6582,3,University,4.49,0.85
6582,4,University,4.47,0.83
6582,5,University,4.41,0.90
6582,6,University,4.47,0.87
6582,7,University,4.25,1.03
6582,8,University,4.33,0.97
6582,9,University,4.29,1.01
6582,10,University,4.41,0.95
6580,1,Instructor,3.79,1.19
6580,2,Instructor,4.37,0.71
6580,3,Instructor,4.97,0.16
6580,4,Instructor,4.89,0.39
6580,5,Instructor,4.92,0.27
6580,6,Instructor,5.00,0.00
6580,7,Instructor,4.89,0.31
6580,8,Instructor,4.95,0.23
6580,9,Instructor,4.92,0.27
6580,10,Instructor,5.00,0.00
6580,1,Department,4.26,0.94
6580,2,Department,4.21,0.98
6580,3,Department,4.34,0.92
6580,4,Department,4.32,0.90
6580,5,Department,4.32,0.91
6580,6,Department,4.33,0.94
6580,7,Department,4.14,1.05
6580,8,Department,4.17,1.03
6580,9,Department,4.17,1.04
6580,10,Department,4.28,0.99
6580,1,College,4.24,0.98
6580,2,College,4.27,0.96
6580,3,College,4.45,0.85
6580,4,College,4.42,0.84
6580,5,College,4.35,0.92
6580,6,College,4.44,0.87
6580,7,College,4.20,1.02
6580,8,College,4.26,0.99
6580,9,College,4.21,1.03
6580,10,College,4.36,0.96
6580,1,University,4.3,0.94
6580,2,University,4.28,0.96
6580,3,University,4.49,0.85
6580,4,University,4.47,0.83
6580,5,University,4.41,0.90
6580,6,University,4.47,0.87
6580,7,University,4.25,1.03
6580,8,University,4.33,0.97
6580,9,University,4.29,1.01
6580,10,University,4.41,0.95
7116,1,Instructor,4.32,1.14
7116,2,Instructor,4.52,0.85
7116,3,Instructor,5.00,0.00
7116,4,Instructor,4.90,0.30
7116,5,Instructor,4.94,0.25
7116,6,Instructor,4.97,0.18
7116,7,Instructor,4.90,0.40
7116,8,Instructor,4.90,0.31
7116,9,Instructor,4.94,0.25
7116,10,Instructor,4.97,0.18
7116,1,Department,4.29,0.91
7116,2,Department,4.25,0.94
7116,3,Department,4.35,0.90
7116,4,Department,4.34,0.88
7116,5,Department,4.33,0.89
7116,6,Department,4.36,0.92
7116,7,Department,4.17,1.03
7116,8,Department,4.19,1.00
7116,9,Department,4.17,1.03
7116,10,Department,4.29,0.98
7116,1,College,4.26,0.96
7116,2,College,4.23,0.98
7116,3,College,4.43,0.87
7116,4,College,4.39,0.85
7116,5,College,4.34,0.91
7116,6,College,4.44,0.88
7116,7,College,4.18,1.03
7116,8,College,4.26,0.98
7116,9,College,4.21,1.03
7116,10,College,4.35,0.96
7116,1,University,4.31,0.94
7116,2,University,4.24,0.98
7116,3,University,4.47,0.86
7116,4,University,4.44,0.83
7116,5,University,4.39,0.91
7116,6,University,4.47,0.87
7116,7,University,4.21,1.04
7116,8,University,4.32,0.95
7116,9,University,4.26,1.02
7116,10,University,4.4,0.95
37465,1,Instructor,4.17,1.10
37465,2,Instructor,4.29,0.94
37465,3,Instructor,4.8,0.72
37465,4,Instructor,4.74,0.78
37465,5,Instructor,4.63,0.77
37465,6,Instructor,4.8,0.76
37465,7,Instructor,4.63,0.81
37465,8,Instructor,4.76,0.79
37465,9,Instructor,4.63,0.81
37465,10,Instructor,4.94,0.24
37465,1,Department,4.28,0.91
37465,2,Department,4.22,0.94
37465,3,Department,4.36,0.88
37465,4,Department,4.33,0.87
37465,5,Department,4.32,0.89
37465,6,Department,4.34,0.92
37465,7,Department,4.16,1.02
37465,8,Department,4.19,0.99
37465,9,Department,4.17,1.01
37465,10,Department,4.29,0.97
37465,1,College,4.24,0.97
37465,2,College,4.26,0.95
37465,3,College,4.46,0.85
37465,4,College,4.43,0.82
37465,5,College,4.34,0.92
37465,6,College,4.43,0.89
37465,7,College,4.19,1.03
37465,8,College,4.24,1.01
37465,9,College,4.18,1.06
37465,10,College,4.35,0.99
37465,1,University,4.36,0.90
37465,2,University,4.30,0.94
37465,3,University,4.51,0.83
37465,4,University,4.48,0.81
37465,5,University,4.43,0.87
37465,6,University,4.49,0.86
37465,7,University,4.26,1.01
37465,8,University,4.35,0.94
37465,9,University,4.31,0.99
37465,10,University,4.44,0.92
25427,1,Instructor,4.17,1.10
25427,2,Instructor,4.29,0.94
25427,3,Instructor,4.8,0.72
25427,4,Instructor,4.74,0.78
25427,5,Instructor,4.63,0.77
25427,6,Instructor,4.8,0.76
25427,7,Instructor,4.63,0.81
25427,8,Instructor,4.76,0.79
25427,9,Instructor,4.63,0.81
25427,10,Instructor,4.94,0.24
25427,1,Department,4.28,0.91
25427,2,Department,4.22,0.94
25427,3,Department,4.36,0.88
25427,4,Department,4.33,0.87
25427,5,Department,4.32,0.89
25427,6,Department,4.34,0.92
25427,7,Department,4.16,1.02
25427,8,Department,4.19,0.99
25427,9,Department,4.17,1.01
25427,10,Department,4.29,0.97
25427,1,College,4.24,0.97
25427,2,College,4.26,0.95
25427,3,College,4.46,0.85
25427,4,College,4.43,0.82
25427,5,College,4.34,0.92
25427,6,College,4.43,0.89
25427,7,College,4.19,1.03
25427,8,College,4.24,1.01
25427,9,College,4.18,1.06
25427,10,College,4.35,0.99
25427,1,University,4.36,0.90
25427,2,University,4.30,0.94
25427,3,University,4.51,0.83
25427,4,University,4.48,0.81
25427,5,University,4.43,0.87
25427,6,University,4.49,0.86
25427,7,University,4.26,1.01
25427,8,University,4.35,0.94
25427,9,University,4.31,0.99
25427,10,University,4.44,0.92
29428,1,Instructor,3.91,0.93
29428,2,Instructor,4.31,0.74
29428,3,Instructor,4.81,0.40
29428,4,Instructor,4.84,0.37
29428,5,Instructor,4.72,0.46
29428,6,Instructor,4.91,0.30
29428,7,Instructor,4.63,0.61
29428,8,Instructor,4.71,0.53
29428,9,Instructor,4.69,0.54
29428,10,Instructor,4.84,0.37
29428,1,Department,4.22,0.95
29428,2,Department,4.18,0.96
29428,3,Department,4.28,0.94
29428,4,Department,4.29,0.88
29428,5,Department,4.24,0.95
29428,6,Department,4.28,0.95
29428,7,Department,4.07,1.07
29428,8,Department,4.11,1.02
29428,9,Department,4.09,1.04
29428,10,Department,4.2,1.03
29428,1,College,4.26,0.94
29428,2,College,4.20,0.98
29428,3,College,4.41,0.85
29428,4,College,4.39,0.83
29428,5,College,4.34,0.91
29428,6,College,4.43,0.85
29428,7,College,4.17,1.01
29428,8,College,4.25,0.95
29428,9,College,4.19,1.01
29428,10,College,4.33,0.96
29428,1,University,4.33,0.92
29428,2,University,4.24,0.97
29428,3,University,4.48,0.84
29428,4,University,4.44,0.83
29428,5,University,4.40,0.89
29428,6,University,4.47,0.86
29428,7,University,4.22,1.02
29428,8,University,4.32,0.94
29428,9,University,4.27,1.01
29428,10,University,4.40,0.94
11278,1,Instructor,4.03,1.15
11278,2,Instructor,4.45,0.74
11278,3,Instructor,4.72,0.53
11278,4,Instructor,4.69,0.47
11278,5,Instructor,4.66,0.55
11278,6,Instructor,4.83,0.38
11278,7,Instructor,4.62,0.82
11278,8,Instructor,4.55,0.83
11278,9,Instructor,4.48,0.83
11278,10,Instructor,4.76,0.58
11278,1,Department,4.27,0.92
11278,2,Department,4.21,0.95
11278,3,Department,4.32,0.92
11278,4,Department,4.35,0.86
11278,5,Department,4.31,0.90
11278,6,Department,4.33,0.92
11278,7,Department,4.10,1.06
11278,8,Department,4.16,1.00
11278,9,Department,4.13,1.06
11278,10,Department,4.26,1.01
11278,1,College,4.30,0.93
11278,2,College,4.27,0.94
11278,3,College,4.45,0.85
11278,4,College,4.43,0.81
11278,5,College,4.37,0.88
11278,6,College,4.45,0.85
11278,7,College,4.19,1.02
11278,8,College,4.27,0.96
11278,9,College,4.20,1.03
11278,10,College,4.37,0.95
11278,1,University,4.36,0.89
11278,2,University,4.29,0.93
11278,3,University,4.52,0.8
11278,4,University,4.48,0.8
11278,5,University,4.44,0.85
11278,6,University,4.50,0.83
11278,7,University,4.25,1.00
11278,8,University,4.36,0.92
11278,9,University,4.30,0.98
11278,10,University,4.45,0.91
35160,1,Instructor,4.57,0.59
35160,2,Instructor,4.39,0.78
35160,3,Instructor,4.87,0.34
35160,4,Instructor,4.83,0.39
35160,5,Instructor,4.74,0.54
35160,6,Instructor,4.96,0.21
35160,7,Instructor,4.74,0.54
35160,8,Instructor,4.87,0.34
35160,9,Instructor,4.78,0.42
35160,10,Instructor,4.91,0.29
35160,1,Department,4.25,0.95
35160,2,Department,4.20,1.00
35160,3,Department,4.31,0.95
35160,4,Department,4.29,0.94
35160,5,Department,4.28,0.97
35160,6,Department,4.32,0.95
35160,7,Department,4.08,1.10
35160,8,Department,4.14,1.04
35160,9,Department,4.11,1.08
35160,10,Department,4.24,1.02
35160,1,College,4.25,0.95
35160,2,College,4.17,1.01
35160,3,College,4.43,0.88
35160,4,College,4.38,0.87
35160,5,College,4.35,0.93
35160,6,College,4.44,0.88
35160,7,College,4.15,1.05
35160,8,College,4.22,1.00
35160,9,College,4.18,1.05
35160,10,College,4.36,0.96
35160,1,University,4.27,0.96
35160,2,University,4.18,1.02
35160,3,University,4.46,0.88
35160,4,University,4.40,0.88
35160,5,University,4.38,0.93
35160,6,University,4.44,0.90
35160,7,University,4.17,1.07
35160,8,University,4.28,0.99
35160,9,University,4.22,1.06
35160,10,University,4.37,0.96
8281,1,Instructor,4.48,0.96
8281,2,Instructor,4.48,0.96
8281,3,Instructor,4.68,0.83
8281,4,Instructor,4.65,0.84
8281,5,Instructor,4.61,0.84
8281,6,Instructor,4.71,0.82
8281,7,Instructor,4.58,0.92
8281,8,Instructor,4.53,0.94
8281,9,Instructor,4.55,0.96
8281,10,Instructor,4.77,0.63
8281,1,Department,4.22,0.98
8281,2,Department,4.16,1.01
8281,3,Department,4.30,0.96
8281,4,Department,4.28,0.94
8281,5,Department,4.26,0.98
8281,6,Department,4.31,0.95
8281,7,Department,4.07,1.1
8281,8,Department,4.13,1.03
8281,9,Department,4.09,1.09
8281,10,Department,4.24,1.02
8281,1,College,4.20,0.99
8281,2,College,4.20,0.98
8281,3,College,4.38,0.92
8281,4,College,4.35,0.90
8281,5,College,4.29,0.96
8281,6,College,4.38,0.93
8281,7,College,4.12,1.07
8281,8,College,4.17,1.03
8281,9,College,4.13,1.07
8281,10,College,4.30,1.01
8281,1,University,4.26,0.98
8281,2,University,4.20,1.01
8281,3,University,4.47,0.88
8281,4,University,4.40,0.89
8281,5,University,4.37,0.94
8281,6,University,4.43,0.91
8281,7,University,4.17,1.08
8281,8,University,4.27,1.00
8281,9,University,4.21,1.07
8281,10,University,4.37,0.97
8282,1,Instructor,4.47,0.97
8282,2,Instructor,4.53,0.97
8282,3,Instructor,4.67,0.8
8282,4,Instructor,4.57,0.94
8282,5,Instructor,4.53,0.9
8282,6,Instructor,4.63,0.89
8282,7,Instructor,4.55,0.95
8282,8,Instructor,4.59,0.95
8282,9,Instructor,4.53,0.97
8282,10,Instructor,4.77,0.63
8282,1,Department,4.22,0.98
8282,2,Department,4.16,1.01
8282,3,Department,4.30,0.96
8282,4,Department,4.28,0.94
8282,5,Department,4.26,0.98
8282,6,Department,4.31,0.95
8282,7,Department,4.07,1.1
8282,8,Department,4.13,1.03
8282,9,Department,4.09,1.09
8282,10,Department,4.24,1.02
8282,1,College,4.20,0.99
8282,2,College,4.20,0.98
8282,3,College,4.38,0.92
8282,4,College,4.35,0.90
8282,5,College,4.29,0.96
8282,6,College,4.38,0.93
8282,7,College,4.12,1.07
8282,8,College,4.17,1.03
8282,9,College,4.13,1.07
8282,10,College,4.30,1.01
8282,1,University,4.26,0.98
8282,2,University,4.20,1.01
8282,3,University,4.47,0.88
8282,4,University,4.40,0.89
8282,5,University,4.37,0.94
8282,6,University,4.43,0.91
8282,7,University,4.17,1.08
8282,8,University,4.27,1.00
8282,9,University,4.21,1.07
8282,10,University,4.37,0.97
26319,1,Instructor,4.13,0.61
26319,2,Instructor,4.38,0.66
26319,3,Instructor,4.72,0.52
26319,4,Instructor,4.75,0.51
26319,5,Instructor,4.50,0.72
26319,6,Instructor,4.72,0.58
26319,7,Instructor,4.53,0.67
26319,8,Instructor,4.53,0.72
26319,9,Instructor,4.44,0.80
26319,10,Instructor,4.63,0.61
26319,1,Department,4.19,1.00
26319,2,Department,4.14,1.01
26319,3,Department,4.23,1.00
26319,4,Department,4.23,0.96
26319,5,Department,4.21,1.01
26319,6,Department,4.27,0.97
26319,7,Department,4.02,1.14
26319,8,Department,4.07,1.08
26319,9,Department,4.00,1.15
26319,10,Department,4.17,1.07
26319,1,College,4.16,1.02
26319,2,College,4.09,1.04
26319,3,College,4.37,0.92
26319,4,College,4.32,0.90
26319,5,College,4.27,0.98
26319,6,College,4.37,0.93
26319,7,College,4.06,1.11
26319,8,College,4.14,1.04
26319,9,College,4.07,1.11
26319,10,College,4.27,1.03
26319,1,University,4.22,0.99
26319,2,University,4.14,1.03
26319,3,University,4.44,0.89
26319,4,University,4.37,0.89
26319,5,University,4.34,0.95
26319,6,University,4.42,0.90
26319,7,University,4.12,1.08
26319,8,University,4.24,1.00
26319,9,University,4.17,1.07
26319,10,University,4.34,0.98
