Cohort Score ID,Semester ID,SEI Question ID,Cohort,Mean,Standard Deviation
1,18,1,Department,4.29,0.93
2,18,2,Department,4.21,0.96
3,18,3,Department,4.36,0.88
4,18,4,Department,4.33,0.88
5,18,5,Department,4.33,0.92
6,18,6,Department,4.37,0.91
7,18,7,Department,4.14,1.06
8,18,8,Department,4.19,1
9,18,9,Department,4.17,1.05
10,18,10,Department,4.25,1.01
11,18,1,College,4.26,0.95
12,18,2,College,4.24,0.96
13,18,3,College,4.47,0.82
14,18,4,College,4.44,0.81
15,18,5,College,4.37,0.9
16,18,6,College,4.48,0.82
17,18,7,College,4.2,1
18,18,8,College,4.3,0.94
19,18,9,College,4.22,1.01
20,18,10,College,4.36,0.95
21,18,1,University,4.33,0.9
22,18,2,University,4.25,0.95
23,18,3,University,4.48,0.83
24,18,4,University,4.45,0.81
25,18,5,University,4.4,0.89
26,18,6,University,4.48,0.84
27,18,7,University,4.24,1.01
28,18,8,University,4.34,0.92
29,18,9,University,4.28,1
30,18,10,University,4.39,0.96
31,17,1,Department,4.27,0.92
32,17,2,Department,4.2,0.98
33,17,3,Department,4.34,0.91
34,17,4,Department,4.34,0.87
35,17,5,Department,4.33,0.91
36,17,6,Department,4.34,0.92
37,17,7,Department,4.13,1.05
38,17,8,Department,4.18,1.02
39,17,9,Department,4.17,1.03
40,17,10,Department,4.25,1.02
41,17,1,College,4.26,0.95
42,17,2,College,4.29,0.93
43,17,3,College,4.47,0.82
44,17,4,College,4.44,0.81
45,17,5,College,4.37,0.9
46,17,6,College,4.45,0.85
47,17,7,College,4.22,1
48,17,8,College,4.29,0.96
49,17,9,College,4.24,1
50,17,10,College,4.37,0.95
51,17,1,University,4.34,0.91
52,17,2,University,4.3,0.94
53,17,3,University,4.51,0.83
54,17,4,University,4.48,0.81
55,17,5,University,4.42,0.88
56,17,6,University,4.48,0.86
57,17,7,University,4.26,1.01
58,17,8,University,4.34,0.95
59,17,9,University,4.3,1
60,17,10,University,4.4,0.96
61,16,1,Department,4.28,0.9
62,16,2,Department,4.24,0.94
63,16,3,Department,4.38,0.88
64,16,4,Department,4.35,0.86
65,16,5,Department,4.33,0.88
66,16,6,Department,4.38,0.89
67,16,7,Department,4.17,1.03
68,16,8,Department,4.21,0.99
69,16,9,Department,4.18,1.02
70,16,10,Department,4.29,0.99
71,16,1,College,4.24,0.94
72,16,2,College,4.25,0.94
73,16,3,College,4.43,0.84
74,16,4,College,4.41,0.82
75,16,5,College,4.32,0.91
76,16,6,College,4.44,0.84
77,16,7,College,4.17,1.02
78,16,8,College,4.25,0.97
79,16,9,College,4.2,1.02
80,16,10,College,4.33,0.98
81,16,1,University,4.31,0.91
82,16,2,University,4.25,0.96
83,16,3,University,4.48,0.83
84,16,4,University,4.45,0.81
85,16,5,University,4.4,0.89
86,16,6,University,4.48,0.84
87,16,7,University,4.23,1.01
88,16,8,University,4.33,0.93
89,16,9,University,4.27,1
90,16,10,University,4.39,0.95
91,14,1,Department,4.26,0.94
92,14,2,Department,4.21,0.98
93,14,3,Department,4.34,0.92
94,14,4,Department,4.32,0.9
95,14,5,Department,4.32,0.91
96,14,6,Department,4.33,0.94
97,14,7,Department,4.14,1.05
98,14,8,Department,4.17,1.03
99,14,9,Department,4.17,1.04
100,14,10,Department,4.28,0.99
101,14,1,College,4.24,0.98
102,14,2,College,4.27,0.96
103,14,3,College,4.45,0.85
104,14,4,College,4.42,0.84
105,14,5,College,4.35,0.92
106,14,6,College,4.44,0.87
107,14,7,College,4.2,1.02
108,14,8,College,4.26,0.99
109,14,9,College,4.21,1.03
110,14,10,College,4.36,0.96
111,14,1,University,4.3,0.94
112,14,2,University,4.28,0.96
113,14,3,University,4.49,0.85
114,14,4,University,4.47,0.83
115,14,5,University,4.41,0.9
116,14,6,University,4.47,0.87
117,14,7,University,4.25,1.03
118,14,8,University,4.33,0.97
119,14,9,University,4.29,1.01
120,14,10,University,4.41,0.95
121,13,1,Department,4.29,0.91
122,13,2,Department,4.25,0.94
123,13,3,Department,4.35,0.9
124,13,4,Department,4.34,0.88
125,13,5,Department,4.33,0.89
126,13,6,Department,4.36,0.92
127,13,7,Department,4.17,1.03
128,13,8,Department,4.19,1
129,13,9,Department,4.17,1.03
130,13,10,Department,4.29,0.98
131,13,1,College,4.26,0.96
132,13,2,College,4.23,0.98
133,13,3,College,4.43,0.87
134,13,4,College,4.39,0.85
135,13,5,College,4.34,0.91
136,13,6,College,4.44,0.88
137,13,7,College,4.18,1.03
138,13,8,College,4.26,0.98
139,13,9,College,4.21,1.03
140,13,10,College,4.35,0.96
141,13,1,University,4.31,0.94
142,13,2,University,4.24,0.98
143,13,3,University,4.47,0.86
144,13,4,University,4.44,0.83
145,13,5,University,4.39,0.91
146,13,6,University,4.47,0.87
147,13,7,University,4.21,1.04
148,13,8,University,4.32,0.95
149,13,9,University,4.26,1.02
150,13,10,University,4.4,0.95
151,11,1,Department,4.28,0.91
152,11,2,Department,4.22,0.94
153,11,3,Department,4.36,0.88
154,11,4,Department,4.33,0.87
155,11,5,Department,4.32,0.89
156,11,6,Department,4.34,0.92
157,11,7,Department,4.16,1.02
158,11,8,Department,4.19,0.99
159,11,9,Department,4.17,1.01
160,11,10,Department,4.29,0.97
161,11,1,College,4.24,0.97
162,11,2,College,4.26,0.95
163,11,3,College,4.46,0.85
164,11,4,College,4.43,0.82
165,11,5,College,4.34,0.92
166,11,6,College,4.43,0.89
167,11,7,College,4.19,1.03
168,11,8,College,4.24,1.01
169,11,9,College,4.18,1.06
170,11,10,College,4.35,0.99
171,11,1,University,4.36,0.9
172,11,2,University,4.3,0.94
173,11,3,University,4.51,0.83
174,11,4,University,4.48,0.81
175,11,5,University,4.43,0.87
176,11,6,University,4.49,0.86
177,11,7,University,4.26,1.01
178,11,8,University,4.35,0.94
179,11,9,University,4.31,0.99
180,11,10,University,4.44,0.92
181,10,1,Department,4.22,0.95
182,10,2,Department,4.18,0.96
183,10,3,Department,4.28,0.94
184,10,4,Department,4.29,0.88
185,10,5,Department,4.24,0.95
186,10,6,Department,4.28,0.95
187,10,7,Department,4.07,1.07
188,10,8,Department,4.11,1.02
189,10,9,Department,4.09,1.04
190,10,10,Department,4.2,1.03
191,10,1,College,4.26,0.94
192,10,2,College,4.2,0.98
193,10,3,College,4.41,0.85
194,10,4,College,4.39,0.83
195,10,5,College,4.34,0.91
196,10,6,College,4.43,0.85
197,10,7,College,4.17,1.01
198,10,8,College,4.25,0.95
199,10,9,College,4.19,1.01
200,10,10,College,4.33,0.96
201,10,1,University,4.33,0.92
202,10,2,University,4.24,0.97
203,10,3,University,4.48,0.84
204,10,4,University,4.44,0.83
205,10,5,University,4.4,0.89
206,10,6,University,4.47,0.86
207,10,7,University,4.22,1.02
208,10,8,University,4.32,0.94
209,10,9,University,4.27,1.01
210,10,10,University,4.4,0.94
211,5,1,Department,4.27,0.92
212,5,2,Department,4.21,0.95
213,5,3,Department,4.32,0.92
214,5,4,Department,4.35,0.86
215,5,5,Department,4.31,0.9
216,5,6,Department,4.33,0.92
217,5,7,Department,4.1,1.06
218,5,8,Department,4.16,1
219,5,9,Department,4.13,1.06
220,5,10,Department,4.26,1.01
221,5,1,College,4.3,0.93
222,5,2,College,4.27,0.94
223,5,3,College,4.45,0.85
224,5,4,College,4.43,0.81
225,5,5,College,4.37,0.88
226,5,6,College,4.45,0.85
227,5,7,College,4.19,1.02
228,5,8,College,4.27,0.96
229,5,9,College,4.2,1.03
230,5,10,College,4.37,0.95
231,5,1,University,4.36,0.89
232,5,2,University,4.29,0.93
233,5,3,University,4.52,0.8
234,5,4,University,4.48,0.8
235,5,5,University,4.44,0.85
236,5,6,University,4.5,0.83
237,5,7,University,4.25,1
238,5,8,University,4.36,0.92
239,5,9,University,4.3,0.98
240,5,10,University,4.45,0.91
241,4,1,Department,4.25,0.95
242,4,2,Department,4.2,1
243,4,3,Department,4.31,0.95
244,4,4,Department,4.29,0.94
245,4,5,Department,4.28,0.97
246,4,6,Department,4.32,0.95
247,4,7,Department,4.08,1.1
248,4,8,Department,4.14,1.04
249,4,9,Department,4.11,1.08
250,4,10,Department,4.24,1.02
251,4,1,College,4.25,0.95
252,4,2,College,4.17,1.01
253,4,3,College,4.43,0.88
254,4,4,College,4.38,0.87
255,4,5,College,4.35,0.93
256,4,6,College,4.44,0.88
257,4,7,College,4.15,1.05
258,4,8,College,4.22,1
259,4,9,College,4.18,1.05
260,4,10,College,4.36,0.96
261,4,1,University,4.27,0.96
262,4,2,University,4.18,1.02
263,4,3,University,4.46,0.88
264,4,4,University,4.4,0.88
265,4,5,University,4.38,0.93
266,4,6,University,4.44,0.9
267,4,7,University,4.17,1.07
268,4,8,University,4.28,0.99
269,4,9,University,4.22,1.06
270,4,10,University,4.37,0.96
271,2,1,Department,4.22,0.98
272,2,2,Department,4.16,1.01
273,2,3,Department,4.3,0.96
274,2,4,Department,4.28,0.94
275,2,5,Department,4.26,0.98
276,2,6,Department,4.31,0.95
277,2,7,Department,4.07,1.1
278,2,8,Department,4.13,1.03
279,2,9,Department,4.09,1.09
280,2,10,Department,4.24,1.02
281,2,1,College,4.2,0.99
282,2,2,College,4.2,0.98
283,2,3,College,4.38,0.92
284,2,4,College,4.35,0.9
285,2,5,College,4.29,0.96
286,2,6,College,4.38,0.93
287,2,7,College,4.12,1.07
288,2,8,College,4.17,1.03
289,2,9,College,4.13,1.07
290,2,10,College,4.3,1.01
291,2,1,University,4.26,0.98
292,2,2,University,4.2,1.01
293,2,3,University,4.47,0.88
294,2,4,University,4.4,0.89
295,2,5,University,4.37,0.94
296,2,6,University,4.43,0.91
297,2,7,University,4.17,1.08
298,2,8,University,4.27,1
299,2,9,University,4.21,1.07
300,2,10,University,4.37,0.97
301,1,1,Department,4.19,1
302,1,2,Department,4.14,1.01
303,1,3,Department,4.23,1
304,1,4,Department,4.23,0.96
305,1,5,Department,4.21,1.01
306,1,6,Department,4.27,0.97
307,1,7,Department,4.02,1.14
308,1,8,Department,4.07,1.08
309,1,9,Department,4,1.15
310,1,10,Department,4.17,1.07
311,1,1,College,4.16,1.02
312,1,2,College,4.09,1.04
313,1,3,College,4.37,0.92
314,1,4,College,4.32,0.9
315,1,5,College,4.27,0.98
316,1,6,College,4.37,0.93
317,1,7,College,4.06,1.11
318,1,8,College,4.14,1.04
319,1,9,College,4.07,1.11
320,1,10,College,4.27,1.03
321,1,1,University,4.22,0.99
322,1,2,University,4.14,1.03
323,1,3,University,4.44,0.89
324,1,4,University,4.37,0.89
325,1,5,University,4.34,0.95
326,1,6,University,4.42,0.9
327,1,7,University,4.12,1.08
328,1,8,University,4.24,1
329,1,9,University,4.17,1.07
330,1,10,University,4.34,0.98
